S.no.,Name of State,Name of District,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%),
566,TELANGANA,Yadadri Bhongiri,23742,2838,26580,3801,7907.24,74.98,
567,TRIPURA,Dhalai,40.8,847.78,888.58,1307.6,16236.22,5.05,
568,TRIPURA,Gomati,84.61,828.98,913.59,1172.97,18890.73,4.53,
569,TRIPURA,Khowai,306.6,611.84,918.44,819.27,9688.6,8.49,
570,TRIPURA,North Tripura,32.4,909.5,941.9,1339.77,9446.63,8.71,
571,TRIPURA,Sepahijala,704.05,950.89,1654.94,1296.91,14790.79,9.86,
572,TRIPURA,South Tripura,172.07,876.34,1048.41,1202.16,16724.65,5.79,
573,TRIPURA,Unakoti,4.81,606.38,611.19,887.3,11776.27,4.82,
574,TRIPURA,West Tripura,624.28,2157.91,2782.19,2645.7,13695.47,16.4,
575,UTTARPRADESH,Agra,83464.26,7654.2,91118.45,8902.22,8384.66,107.5,
576,UTTARPRADESH,Aligarh,51082.36,10220.91,61303.27,13875.03,29381.42,68.86,
577,UTTARPRADESH,Ambedkar Nagar,50783.94,5534.13,56318.07,7389.75,16528.64,75.39,
578,UTTARPRADESH,Amethi,43561.74,4437.78,47999.52,5194.13,26334.5,63.92,
579,UTTARPRADESH,Amroha,44832.01,4357.04,49189.05,5114.79,2671.09,104.58,
580,UTTARPRADESH,Auraiya,28326.2,3224.37,31550.57,3546.75,31411.54,49.86,
581,UTTARPRADESH,Ayodhya,50701.6,6328.9,57030.5,7661.81,27936.56,66.08,
582,UTTARPRADESH,Azamgarh,66875.61,12123.66,78999.27,14560.07,40274.16,64.91,
583,UTTARPRADESH,Bagpat,32572.1,2495.67,35067.77,3131.67,3767.36,92.84,
584,UTTARPRADESH,Bahraich,51267.29,8747.66,60014.95,10318.62,52858.97,52.44,
585,UTTARPRADESH,Ballia,45675.11,7339.63,53014.74,8646.49,29101.36,63.55,
586,UTTARPRADESH,Balrampur,40778.51,5488.45,46266.96,6617.41,43142.89,51.1,
587,UTTARPRADESH,Banda,36116.28,4037.47,40153.75,6187.92,17304.3,67.36,
588,UTTARPRADESH,Barabanki,101396.2,8130.32,109526.52,9530.21,54457.15,66.23,
589,UTTARPRADESH,Bareilly,71803.57,13565.18,85368.75,15900.71,43777.07,66.95,
590,UTTARPRADESH,Basti,41045.45,5990.56,47036.01,6821.05,23754.84,65.67,
591,UTTARPRADESH,Bijnor,86514.45,7299.21,93813.66,8279,42652.39,68.8,
592,UTTARPRADESH,Budaun,52041.7,7754.47,59796.17,9007.92,14540.14,80.85,
593,UTTARPRADESH,Bulandshahar,135089.69,6574.67,141664.36,8780,21867.06,89.48,
594,UTTARPRADESH,Chandauli,22462.29,4283.15,26745.44,4856.29,25762.47,50.39,
595,UTTARPRADESH,Chitrakoot,27475.14,2502.4,29977.54,3974.9,5202.74,81.79,
596,UTTARPRADESH,Deoria,39430.31,7668.38,47098.68,9055.26,24193.96,64.8,
597,UTTARPRADESH,Etah,41770.55,4283.97,46054.52,4814.22,10604.68,80.53,
598,UTTARPRADESH,Etawah,27552.56,3215.51,30768.07,3679.42,47848.95,38.91,
599,UTTARPRADESH,Farrukhabad,34226.52,3809.61,38036.13,4410.24,11972.71,75.16,
600,UTTARPRADESH,Fatehpur,97567.5,6615.37,104182.87,7821.05,43823.48,70.15,
601,UTTARPRADESH,Firozabad,72524.96,6154.17,78679.13,7084.82,9227.1,111.39,
602,UTTARPRADESH,G.B.Nagar,62501.84,3893.42,66395.26,4455.13,1646.99,109.66,
603,UTTARPRADESH,Ghaziabad,35693.32,11837.44,47530.76,17469.88,1339.6,128.36,
604,UTTARPRADESH,Ghazipur,50062,8272.48,58334.48,9550.87,31529.04,64,
605,UTTARPRADESH,Gonda,47157.64,8722.89,55880.53,10452.51,32720.27,61.86,
606,UTTARPRADESH,Gorakhpur,56120.27,10870.09,66990.36,12468.71,36127.16,63.97,
607,UTTARPRADESH,Hamirpur,28369.07,2571.54,30940.61,3056.95,11518.21,72.05,
608,UTTARPRADESH,Hapur,45976.1,3165.06,49141.16,4189,1300.77,107.34,
609,UTTARPRADESH,Hardoi,95005.91,8745.11,103751.02,10082,66192.41,60.57,
610,UTTARPRADESH,Hathras,52158.42,3773.39,55931.81,4236.67,6492.45,101.49,
611,UTTARPRADESH,Jalaun,48282.6,4039.72,52322.32,5440.99,52359.23,49.32,
612,UTTARPRADESH,Jaunpur,99366.93,12067.34,111434.27,14055.4,35310.72,76.55,
613,UTTARPRADESH,Jhansi,39230.56,2926.59,42157.15,3462.67,42215.07,49.65,
614,UTTARPRADESH,Kannauj,39762.58,4021.25,43783.83,4637.87,26764.71,66.53,
615,UTTARPRADESH,Kanpur Dehat,58668.52,3995.08,62663.6,4372.33,26042.2,70.34,
616,UTTARPRADESH,Kanpur Nagar,59126.97,8238.31,67365.28,8984.33,18108.75,79.24,
617,UTTARPRADESH,Kasganj,38406.88,3611.03,42017.91,4261.66,15807.9,71.85,
618,UTTARPRADESH,Kaushambi,38065.54,4033.64,42099.18,4891.06,16554.35,71.18,
619,UTTARPRADESH,Kushi Nagar,60855.26,16997.71,77852.97,20279.44,49973.88,59.38,
620,UTTARPRADESH,Lakhimpur Kheri,115738.38,10605.16,126343.54,13291.22,94897.16,56.42,
621,UTTARPRADESH,Lalitpur,28703.37,2645.49,31348.86,5020.88,6295.53,78.33,
622,UTTARPRADESH,Lucknow,35690.03,13691.67,49381.7,16863.07,29458.24,65.34,
623,UTTARPRADESH,Mahoba,17674.5,1409.29,19083.79,1916.53,2934.78,87.77,
624,UTTARPRADESH,Mahrajganj,53160.56,6069.7,59230.26,7219.85,36351.01,61.23,
625,UTTARPRADESH,Mainpuri,55983.23,4191.23,60174.46,4724.41,27738.59,69.76,
626,UTTARPRADESH,Mathura,75651.09,5911.71,81562.8,6892.32,26381.65,77.57,
627,UTTARPRADESH,Maunath Bhanjan,27563.71,5657.89,33221.6,6881.18,18538.21,62.7,
628,UTTARPRADESH,Meerut,49980.17,10448.4,60428.57,11895.54,15185.07,84.01,
629,UTTARPRADESH,Mirzapur,24703.63,6083.17,30786.8,7051.49,18300.46,61.51,
630,UTTARPRADESH,Moradabad,48160.81,10462.85,58623.66,14277.47,8496.81,89.34,
631,UTTARPRADESH,Muzaffarnagar,70542,6353.51,76895.51,7184.12,30817.63,71.52,
632,UTTARPRADESH,Pilibhit,57893.86,4952.6,62846.46,5642.25,63373.6,49.52,
633,UTTARPRADESH,Pratapgarh,95709.82,7554.16,103263.98,8610.04,29417.57,80.24,
634,UTTARPRADESH,Prayagraj,86809.93,15266.54,102076.47,17557.6,43692.61,69.87,
635,UTTARPRADESH,Raibareli,60950.3,6415.82,67366.13,7568.83,44222,59.75,
636,UTTARPRADESH,Rampur,48930.24,4711.65,53641.89,5508.35,19063.37,75.15,
637,UTTARPRADESH,Saharanpur,137850.68,6727.41,144578.09,7637.3,6992.94,119.99,
638,UTTARPRADESH,Sambhal,33338.43,5121.15,38459.58,5989.36,3596.46,91.57,
639,UTTARPRADESH,Sant Kabir Nagar,23768.03,7443.55,31211.58,11252.39,11153.35,67.6,
640,UTTARPRADESH,Sant Ravidas Nagar,24716.29,3737.09,28453.38,4172.98,4356.39,85.59,
641,UTTARPRADESH,Shahjahanpur,65481.86,7660.66,73142.52,9201.28,45895.79,60.66,
642,UTTARPRADESH,Shamli,40899.32,3229.34,44128.66,3622.42,2146.67,109.26,
643,UTTARPRADESH,Shrawasti,24258.46,2860.64,27119.1,3461.23,20139.71,56.66,
644,UTTARPRADESH,Siddharth Nagar,47404.43,6559.72,53964.15,7920.2,31934.71,61.84,
645,UTTARPRADESH,Sitapur,107818.2,10106.98,117925.18,12058.26,77037.82,59.89,
646,UTTARPRADESH,Sonbhadra,9190.83,3768.39,12959.22,4545.89,9460.48,55.87,
647,UTTARPRADESH,Sultanpur,49392.88,5736.97,55129.85,6597.58,55868.1,49.29,
648,UTTARPRADESH,Unnao,100951.63,7760.66,108712.29,9223.46,66518.66,61.53,
649,UTTARPRADESH,Varanasi,38544.6,10075.51,48620.11,11156.49,5198.09,99.74,
650,UTTARAKHAND,Dehradun,7588.5,7155,14743.5,6731,38797.9,27.54,
651,UTTARAKHAND,Haridwar,49696.86,13602.8,63299.66,6828.76,32022.55,66.41,
652,UTTARAKHAND,Nainital,4820,3504.98,8324.98,3114.36,6362.34,56.68,
653,UTTARAKHAND,Udham Singh Nagar,68127.42,9886.9,78014.32,4929.28,47707.66,62.05,
654,WEST BENGAL,Coochbehar,42261.5,4447.27,46708.77,5988.25,188411.84,20,
655,WEST BENGAL,Jalpaiguri,8241.2,4395.75,12636.95,5908.97,264315.12,5,
656,WEST BENGAL,Darjeeling,1169.1,1478.05,2647.15,2012.74,43833.19,6,
657,WEST BENGAL,Uttar Dinajpur,78133.6,4811.27,82944.87,7569.33,47811.9,62,
658,WEST BENGAL,Dakshin Dinajpur,50706,2618.71,53324.71,3349.33,44780.76,54,
659,WEST BENGAL,Malda,59108.6,6392.43,65501.03,9828.37,67150.64,48,
660,WEST BENGAL,Murshidabad,186187,10286.71,196473.71,17323.82,22215.54,87,
661,WEST BENGAL,Nadia,179222.2,8117.25,187339.45,10601.16,14914.26,92,
662,WEST BENGAL,North 24-Parganas,84524.6,14404.77,98929.37,19035.91,46378.8,66,
663,WEST BENGAL,Howrah,4970,2356.32,7326.32,6038.57,18653.16,25,
664,WEST BENGAL,Hooghly,54601.8,7171.42,61773.22,10669.27,59850.52,49,
665,WEST BENGAL,Burdwan,94059.6,9608.01,103667.61,15762.29,127055.87,44,
666,WEST BENGAL,Birbhum,36191.8,3948.14,40139.94,7780.42,72601.72,34,
667,WEST BENGAL,Bankura,69980.27,4702.22,74682.48,7362.46,84426.38,46,
668,WEST BENGAL,Purulia,2232.8,4627.09,6859.89,6411.97,64079.31,9,
669,WEST BENGAL,Purba Medinipore,21562.4,3047.88,24610.28,4341.44,47367.42,34,
670,WEST BENGAL,Paschim Medinipore,110919.6,7943.15,118862.75,12907.78,205036.12,36,
671,A&N ISLAND,North & Middle Andaman,0.8,312.9,313.7,275.56,8549.52,3.52,
672,A&N ISLAND,Nicobar,0.44,109.08,109.52,96.15,16391.36,0.66,
673,A&N ISLAND,South Andaman,13.54,471.41,484.95,339.49,7190.64,6.27,
674,CHANDIGARH,UT of Chandigarh,58,3320,3378,3320,416,89,
675,Dadra & Nagar Haveli,Dadra & Nagar Haveli,750.46,1292.4,2042.86,1292.4,4475.73,31.34,
676,Daman,Daman,402,233,635,322,480,51.25,
677,Diu,Diu,327,59,386,82,6,91.04,
678,LAKSHADWEEP,Agatti,0,27.1,27.1,27.1,9.7,73.64,
679,LAKSHADWEEP,Amini,0,28.7,28.7,28.7,6.8,81.07,
680,LAKSHADWEEP,Androth,0,41.9,41.9,41.9,22.9,64.66,
681,LAKSHADWEEP,Chetlat,0,8.7,8.7,8.7,5.4,61.7,
682,LAKSHADWEEP,Kadmat,0,19.8,19.8,19.8,22.6,46.81,
683,LAKSHADWEEP,Kalpeni,0,16.4,16.4,16.4,14.5,53.07,
684,LAKSHADWEEP,Kiltan,0,15.1,15.1,15.1,7.4,67.11,
685,LAKSHADWEEP,Kavaratti,0,41.8,41.8,41.8,8.5,83.1,
686,LAKSHADWEEP,Minicoy,0,38.6,38.6,38.6,25.01,60.6,
687,Puducherry,Puducherry,10338,3632.5,13970.5,3652,0,101.99,
688,Puducherry,Karaikal,616.65,387.67,1004.32,404.52,5408.47,15.62,
689,Puducherry,Mahe,0,166,166,176.34,65.37,68.68,
